Data,Descrição,Valor,Tipo
15/01/2024,NETFLIX.COM,-55.90,D
15/01/2024,SPOTIFY,-21.90,D
20/01/2024,MERCADO LIVRE,-150.00,D
05/01/2024,SMART FIT MENSALIDADE,-99.90,D
10/01/2024,UBER *VIAGEM,-35.50,D
25/01/2024,PIX RECEBIDO,1500.00,C
15/02/2024,NETFLIX.COM,-55.90,D
15/02/2024,SPOTIFY,-21.90,D
05/02/2024,SMART FIT MENSALIDADE,-99.90,D
12/02/2024,AMAZON PRIME VIDEO,-14.90,D
18/02/2024,PAG*IFOOD,-45.00,D
28/02/2024,UBER *VIAGEM,-28.00,D
15/03/2024,NETFLIX.COM,-55.90,D
15/03/2024,SPOTIFY,-21.90,D
05/03/2024,SMARTFIT,-99.90,D
12/03/2024,AMAZON PRIME VIDEO,-14.90,D
22/03/2024,COMPRA MAGAZINE LUIZA,-299.00,D
01/03/2024,SALARIO,5000.00,C
